cntry_AN,state_of_health,religious_member,political_member,distrust_people,environment_vs_economy,neighbour_distrust,conf_press,conf_parliament,conf_civil_service,conf_govt,E069_12,E115,avoid_fare,cheat_taxes,govt_surveilence,H010,H011,sex,age,G027A,V002,V001,location,alpha.3,official_name,ghs,ethnic,linguistic,religious,area_km2,pop.km2,code,Wbcode,year.x,area_km,area_mi,pct_pop_inc,pct_popdens_inc,assassinations,strikes,guarilla,crises,purges,riots,revolutions,antgovt_dem,confict_index,legis01,legis02,legis05,legis06,legis07,polit02,polit03,polit04,polit05,polit06,polit07,polit08,polit09,polit10,polit11,polit12,polit13,polit14,polit15,pop1,pop2,sch_enrol_per_cap,country_code,health_spending_pct_gdp,year.y,life_exp.x,country,year,gdp_per_capita,gdp_growth,literacy_rate,secondary_school_enrl,geni_index,life_exp.y,poverty_headcount,pop_65,fdi_pct_gdp,aid_per_cap
GT,1.9517871986699917,0.8185654008438819,0.19316239316239317,0.8204488778054863,1.548060708263069,2.5463041631265932,2.9858686616791354,3.376558603491272,3.361596009975062,0.0889443059019119,3.4098088113050706,1.862011637572735,3.6838983050847456,2.3793691389599316,2.181202370872142,2.9480408858603067,2.8774635818337617,1.5303408146300914,33.49127182044888,1.0075503355704698,0.8761429758935994,0.8744804655029094,Guatemala,GTM,Republic of Guatemala,32.7,0.5122,0.4586,0.3753,108889,162.36,0460,GTM,2019,108889,42042,168,167,0,1,0,0,0,2,0,8,1875,37,158,3,3,427,1,0,0,2,2,2,1,0,17,0,0,2,2,1,16345,3888,2513,GTM,5.70716429,2018,74.063,Guatemala,2019,4619.98525821971,3.84490206694998,NA,51.1495780944824,NA,NA,NA,4.92898433077731,1.26027295223133,23.7201511310279
HK,2.5822888559633737,0.2972996258727711,0.12444617412771085,0.6337455803175218,1.5363379816097915,2.27025935882767,2.442640975903351,2.7587304943430944,2.41688076994701,0.5516636415292412,2.8962466856471742,2.580018148279173,2.4136897893817566,2.1394353459575086,2.457975584555286,3.0100422071687807,3.2008168921361433,1.526912649546506,48.54726582803742,1.3201786088032788,0.3368292683318735,0.30904473689391726,Hong Kong,HKG,Hong Kong Special Administrative Region of China,NA,0.062,0.2128,0.4191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong SAR, China",2019,48713.4737481561,-1.24948812430758,NA,107.740280151367,NA,NA,NA,17.498252456848,14.5391171632893,NA
HR,2.462875480184176,0.19371141795622027,0.07311990610514066,0.8619113151235228,1.456427992746454,2.20384735674654,3.23983873876453,3.507505677368643,2.940540493491702,0.09892288106023221,3.5697615644757907,1.709559379400784,3.2716899298578968,2.0050987905900377,2.8687071442298646,3.302753482194116,3.282178662544581,1.5315220915728813,50.02578325473671,1.10080874091033,0.8592501539429999,0.864501594178346,Croatia,HRV,Republic of Croatia,53.3,0.369,0.0763,0.4447,56542,72.3,0275,HRV,2019,56594,21851,-50,-50,0,2,0,0,0,0,0,7,1375,55,151,2,3,275,1,0,0,2,1,3,2,3,21,0,0,3,2,0,4365,1998,1551,HRV,6.82702351,2018,78.07073171,Croatia,2019,14936.100547343,2.85892596800696,NA,NA,NA,NA,NA,20.8601352345977,1.92592988231464,NA
HU,2.500945371772645,0.16628450342759693,0.01882693717957702,0.7288687227293786,1.353609968374807,1.8855663949640868,3.1174152493716716,2.8269569808294026,2.454426551506028,0.39189958427483723,3.206074252258524,2.0078130645945733,2.999590920743418,1.5206701917002603,2.1201827832915807,3.404437621572215,3.47425236786984,1.536447083334011,49.09226057411354,1.0273251382472028,0.9682116292732409,0.9660577436991787,Hungary,HUN,Hungary,54,0.1522,0.0297,0.5244,93029,104.96000000000001,0062,HUN,2019,93028,35918,-28,-25,0,2,0,0,0,0,0,15,2375,117,199,2,3,170,1,0,0,2,1,3,2,3,12,0,0,3,2,0,9865,2747,1543,HUN,6.70007229,2018,76.06585366,Hungary,2019,16731.8215139051,4.57819046064414,NA,NA,NA,NA,NA,19.6944576067002,19.60614063123,NA
ID,2.120350829145,0.6916479109249766,0.09621106959186228,0.9537658239590497,1.3215329234282547,2.321203321203252,2.467680114663839,2.4446523905642565,2.0524558726312656,0.7918561765522762,2.7519615837646314,2.213214094304585,2.8014541889668023,2.585027990089571,1.9696262630166772,2.1641176083606872,2.302824093351471,1.50347438399375,39.9493119101225,1.0011324140775,0.99999999994875,0.9998229679621875,Indonesia,IDN,Republic of Indonesia,56.6,0.7351,0.768,0.234,1904569,141.87,0530,IDN,2019,1904569,735358,79,77,0,0,12,0,0,11,0,11,19812,28,575,2,2,2054,1,0,0,2,2,2,1,0,36,1,0,2,2,1,250261,3403,2379,IDN,2.87053037,2018,71.509,Indonesia,2019,4135.56926281554,5.02471402216969,NA,NA,NA,NA,NA,6.05030268241321,2.19046980876868,-2.3277549747518
IQ,2.3966666666666665,0.19311502938706968,0.09028960817717206,0.8875638841567292,1.6025,1.8819095477386936,2.6756521739130434,3.5192644483362523,2.91674047829938,0.1993097497842968,3.5548780487804876,2.2905172413793102,2.986666666666667,2.735,1.721186440677966,2.4251497005988023,2.0033955857385397,1.4933333333333334,36.6025,1,1,1,Iraq,IRQ,Republic of Iraq,25.8,0.3689,0.3694,0.4844,438317,89.67999999999999,0550,IRQ,2019,438317,169235,216,218,0,5,259,1,0,46,0,2,339875,54,329,2,2,609,1,0,0,2,1,3,2,2,23,0,0,2,2,0,37281,2203,NA,IRQ,4.1062417,2018,70.454,Iraq,2019,5955.10901036816,4.40090984469357,NA,NA,NA,NA,NA,3.39853313359679,-1.31383095502457,56.2686879271091
IR,2.145527369826435,0.44021376085504343,0.09765886287625418,0.8516042780748663,1.3930013458950201,2.112525117213664,2.4495967741935485,2.354663036078965,2.200937709310114,0.5204835460040296,2.70260989010989,1.9620081411126187,2.7140939597315437,2.3324378777703156,2.1636240703177823,2.545516304347826,2.5110961667787493,1.4889926617745164,39.36691127418279,1.0026684456304202,0.9959973315543695,0.9939919893190922,Iran,IRN,Islamic Republic of Iran,37.7,0.6684,0.7462,0.1152,1648195,51,0540,IRN,2019,1648195,636371,110,104,0,1,9,0,1,6,0,3,14000,119,290,2,1,244,4,0,0,4,2,2,1,0,31,0,0,1,2,0,80076,1258,2323,NA,NA,NA,NA,"Iran, Islamic Rep.",2019,NA,-6.78421566790148,NA,NA,NA,NA,NA,6.35852205539563,NA,2.53757185069154
IS,2.0233456607342664,0.6153300331732708,0.1848260169111051,0.3696985592665607,1.2614316466376203,1.889466823468202,2.8251382994540375,2.7227719254741776,2.408970389253507,0.3168932774650669,3.006405605532337,2.475063088365866,3.14471822830859,1.8286716865947612,1.9240112884214675,3.5408405588035397,3.520930318275357,1.496291912233052,49.848926226200355,1.0722644756130182,0.9329068756275626,0.9319499776101817,Iceland,ISL,Republic of Iceland,46.3,0.0798,0.082,0.1913,102775,3.56,0510,ISL,2019,103000,39769,116,115,0,1,0,0,0,0,0,7,1125,16,63,2,3,394,1,0,0,2,1,3,2,3,11,0,0,3,2,0,349,88,2521,ISL,8.4693088500000009,2018,82.86097561,Iceland,2019,66944.8330769825,1.91867686670734,NA,NA,NA,NA,NA,15.192121074474,-1.98821744972377,NA
IT,2.17832716182297,0.05067934426023438,0.013977705366842064,0.7293123887754518,1.3672419407721121,2.1526244837611372,2.828766024684912,2.9250809793104304,2.7525420399087874,0.24347134874792467,3.2239144078672797,2.7153956072348477,1.9096716367876758,2.1007897936924698,1.9461414049054535,3.0365005555262488,3.0122293017715287,1.4845055274919619,51.72198179746708,1.0364372653253138,0.9728436638349328,0.9741359361527606,Italy,ITA,Italian Republic,56.2,0.1145,0.1147,0.3027,301308,199.97,0570,ITA,2019,301340,116348,11,11,0,12,0,1,0,6,0,13,6750,151,630,2,3,417,1,0,0,2,1,3,2,3,22,1,0,3,2,0,61885,5319,1505,ITA,8.66763401,2018,83.34634146,Italy,2019,33228.2366803707,0.342718996631092,NA,NA,NA,NA,NA,23.0121366488811,1.55681774790443,NA
JO,1.8469217970049916,0.0805892547660312,0.019064124783362217,0.8403010033444817,1.4901785714285714,2.012562814070352,2.8119584055459272,3.5690265486725665,2.7351638618246237,0.4252199413489736,3.579175704989154,2.530981887511916,NA,2.1056160938809723,1.9530988274706869,2.339225589225589,2.178691275167785,1.4954280964256026,43.3142144638404,1.137988362427265,0.743142144638404,0.744804655029094,Jordan,JOR,Hashemite Kingdom of Jordan,42.1,0.5926,0.0396,0.0659,89342,122,0610,JOR,2019,89342,34495,140,137,0,1,0,0,0,1,0,4,1062,10,130,3,2,1300,1,0,0,1,1,1,3,1,31,0,0,1,2,0,6875,1993,465,JOR,7.79041338,2018,74.405,Jordan,2019,4405.48841230824,1.9554663940488,NA,65.193977355957,NA,NA,NA,3.89341629235651,1.85491964458254,276.903056200896
JP,2.4742729306487696,0.11751497005988024,0.04416167664670659,0.6440281030444965,1.6376811594202898,2.353784860557769,2.2721036585365852,2.7621800165152766,2.5659609120521174,0.4336283185840708,2.823283082077052,2.636876763875823,1.3237951807228916,1.257336343115124,2.349673202614379,2.9441201000834027,3.254335260115607,1.5639320029563932,54.689578713968956,1.0097159940209268,0.9985029940119761,0.9947565543071161,Japan,JPN,NA,59.8,0.0119,0.0178,0.5406,377975,333.38,0600,JPN,2019,377915,145914,-27,-27,0,0,0,0,0,0,0,7,875,284,465,2,3,164,1,0,0,1,1,3,2,3,51,1,0,3,2,0,125846,8625,1400,JPN,10.95338821,2018,84.21097561,Japan,2019,40246.8801284164,0.654151650202522,NA,NA,NA,NA,NA,28.0020492778115,0.73157258801867,NA
KG,1.9012720646583334,0.14076862604690119,0.024082198527196653,0.8711484016386555,1.354673881398417,1.9459126298075313,2.5981741127690974,2.830209640969957,2.434716523860544,0.5321455769073917,2.883375744650561,2.2693733351888667,2.729908705546875,2.244085196099656,1.819514066635274,2.5706030678238343,2.9336950221391302,1.5132702911916667,40.332914105133334,1.0555809170975814,0.8968981117264387,0.9033031022435363,Kyrgyzstan,KGZ,Kyrgyz Republic,NA,0.6752,0.5949,0.447,199945,31.56,0645,KGZ,2019,199951,77201,95,94,0,0,0,0,0,2,0,4,1125,38,120,2,2,316,1,0,0,2,1,3,2,2,14,0,0,2,2,0,5815,753,2385,NA,NA,NA,NA,Kyrgyz Republic,2019,1309.39299165512,4.50713892307806,NA,96.3668518066406,NA,NA,NA,4.60029458294692,4.77685713531745,69.4930990808403
KR,1.942971887550201,0.26666666666666666,0.04497991967871486,0.6706827309236948,1.4265060240963856,2.0971887550200803,2.542971887550201,3.040160642570281,2.440160642570281,0.5132530120481927,2.9036144578313254,2.45140562248996,2.970281124497992,2.223293172690763,2.593574297188755,3.159839357429719,3.254618473895582,1.5124497991967871,45.619277108433735,1.010441767068273,0.9959839357429718,0.9967871485943776,South Korea,KOR,NA,70.2,0.0392,0.0028,0.4891,100210,516.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korea, Rep.",2019,31846.2182324258,2.03934822710794,NA,NA,NA,NA,NA,15.0601768953737,0.641607358033567,NA
KZ,2.283676703645008,0.08354011579818031,0.11509591326105087,0.7610837438423645,1.5401588702559577,2.1886345698500396,2.305798252581414,2.1806451612903226,2.1845047923322682,0.7011217948717948,2.318548387096774,2.2809099901088032,4.280971659919028,2.9463696369636962,2.2497938994229183,2.933054393305439,3.082764505119454,1.547805642633229,41.240595611285265,1.0471327572663,0.9067729083665339,0.9093774625689519,Kazakhstan,KAZ,Republic of Kazakhstan,40.7,0.6171,0.6621,0.5898,2724900,6.6899999999999995,0615,KAZ,2019,2724900,1052089,89,62,0,1,0,1,0,1,0,4,1312,84,98,3,1,117,1,0,0,2,1,2,1,1,17,1,1,1,2,0,17052,162,2113,KAZ,2.92212725,2018,73.15,Kazakhstan,2019,9812.39037613835,4.5,NA,113.227531433105,NA,NA,NA,7.65234394098093,1.85499031021328,2.93886818451901
LB,2.09,0.10083333333333333,0.09583333333333334,0.9008333333333334,1.6300675675675675,2.2957393483709274,2.9780775716694774,3.1791421362489487,3.2298558100084818,0.2,3.2403361344537815,2.227966101694915,NA,2.56140350877193,2.512562814070352,2.647403685092127,2.5184254606365157,1.5,40.825,1.0066666666666666,0.9966666666666667,0.9958333333333333,Lebanon,LBN,Lebanese Republic,43.1,0.1314,0.1312,0.7886,10452,672.06,0670,LBN,2019,10400,4015,-667,-668,1,14,2,1,0,12,0,3,10688,25,128,2,2,512,1,0,0,2,1,3,2,2,30,1,0,2,2,0,4825,12017,2124,LBN,8.35297012,2018,78.875,Lebanon,2019,7583.69472170648,-6.69999999999995,NA,NA,NA,NA,NA,7.27329163283236,4.27621078274128,222.513688982368
LT,2.4811000072189735,0.10486323180859058,0.03266595158950227,0.6707297888931842,1.6515420418431905,2.0531827639696925,2.3915566831469053,2.938679518292117,2.5757705611586603,0.41668015803169156,3.0474906119300504,2.7108269546347477,3.446099969281802,2.714510216526169,2.457763804271406,3.4662450935054134,3.576654209095768,1.5954357988624563,49.322708588612386,1.021967949981011,0.963230923189808,0.9465217929231862,Lithuania,LTU,Republic of Lithuania,55,0.3223,0.3219,0.4141,65300,42.78,0710,LTU,2019,65300,25212,-112,-110,0,1,0,0,0,0,0,1,375,54,141,2,3,261,1,0,0,2,1,2,1,3,16,0,1,3,2,0,3177,1260,1576,LTU,6.56775236,2018,75.6804878,Lithuania,2019,19601.8908343885,4.33886103349596,NA,NA,NA,NA,NA,20.1584127130225,2.88130352057699,NA
ME,2.0321816865095794,0.08604938814758412,0.04487885274863329,0.7751270640948684,1.4042412034649714,2.031489069905933,3.045106555456953,2.7893046685354257,2.710680062383198,0.380715726451466,2.910256437662624,1.9612219266104545,2.1216788614376143,1.9667666612760815,2.8160071276155234,3.1993637676358975,3.164373336879992,1.515463565150274,46.09081081155136,1.062976044420713,0.8929736727498704,0.9296019879064129,Montenegro,MNE,Montenegro,43.7,NA,NA,NA,13812,45.05,1291,MNE,2019,13812,5333,-33,-26,0,0,0,0,1,0,0,14,2000,36,81,2,3,225,1,0,0,2,1,3,2,3,20,0,0,3,2,0,612,1148,1607,MNE,8.4230423,2018,76.77,Montenegro,2019,8908.93479246767,4.06293885004432,NA,90.0880432128906,NA,NA,NA,15.3891720688486,8.35113789012959,155.81777396523
MK,2.135348740180483,0.14715831426427925,0.12845011347566357,0.8396580477751989,1.4802137063091922,2.1243786450413618,2.9093805155542283,2.943383797454093,2.7216614317785437,0.2639856366636593,3.2053936729007204,1.7140618391985871,2.5246524920110724,1.7358505528522779,2.8420240907243084,3.1021432343439503,3.070944327092028,1.5011398300178045,46.815304619706474,1.0272768547433435,0.9320591659429569,0.955664598573687,North Macedonia,MKD,Republic of North Macedonia,39.1,NA,NA,NA,25713,80.78,0725,MKD,2019,25713,9928,14,14,0,2,0,0,0,0,0,8,1500,51,120,2,3,235,1,0,0,2,1,3,2,3,16,0,0,3,2,0,2072,2087,NA,MKD,6.58288956,2018,75.688,North Macedonia,2019,6022.21617939574,3.2,NA,NA,NA,NA,NA,14.0854223673228,4.37952543411037,68.0598960919116
MM,2.2783333333333333,0.30916666666666665,0.1225,0.8491666666666666,1.4875,2.1591666666666667,2.4275,2.078333333333333,2.0591666666666666,0.8016666666666666,2.245833333333333,2.175,3.161236424394319,1.6216666666666666,1.4108333333333334,1.6258333333333332,2.8933333333333335,1.4991666666666668,40.431666666666665,1,0.9991666666666666,0.9991666666666666,Myanmar,MMR,Republic of Myanmar,43.4,NA,NA,NA,676577,80.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MMR,4.79125547,2018,66.867,Myanmar,2019,1407.81314341043,2.88796073310718,NA,NA,NA,NA,NA,6.01170459957569,3.01281422609036,38.4848509205892
MO,2.3659491193737767,0.19174041297935104,0.2357563850687623,0.5619834710743802,1.3986220472440944,2.1284313725490196,2.4011799410029497,2.3270935960591133,2.2889546351084813,0.687007874015748,2.3736372646184343,2.4734774066797645,2.515655577299413,2.292156862745098,2.3806262230919764,2.968688845401174,3.194716242661448,1.5596868884540118,40.68880688806888,1.417238001958864,0.23686818632309217,0.23552894211576847,Macao,MAC,Macao Special Administrative Region of China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macao SAR, China",2019,84096.3963112065,-4.71085944721383,NA,101.036689758301,NA,NA,NA,11.2117355900975,11.4995761630042,NA
MX,2.103034772642487,0.555713812561565,0.17068688966455697,0.8951373070253457,1.4566656618455667,2.5147354335576035,3.0265936705686958,3.375989662282305,3.358486876932153,0.17460873180817973,3.4934373289620253,1.964381016662729,4.284899699069226,2.9830843884098837,2.5593317318752886,3.234139583871528,3.3975246898809246,1.5224693575945947,41.80632651335751,1.0002191296043703,1.0002191296043703,1.0002191296043703,Mexico,MEX,United Mexican States,57.6,0.5418,0.1511,0.1796,1967138,64.35,0810,MEX,2019,1964375,758449,104,102,0,11,0,0,0,6,0,20,7125,193,500,3,3,259,1,0,0,2,2,2,1,0,20,0,0,2,2,0,119631,1577,2681,MEX,5.37147474,2018,74.992,Mexico,2019,9946.03382879198,-0.0545279280443225,NA,NA,NA,NA,NA,7.41666060424488,2.3133934138024,4.19978644985547
MY,2.188880426504189,0.4634146341463415,0.27210365853658536,0.8042650418888042,1.444021325209444,2.1881188118811883,2.655225019069413,2.6399694889397405,2.3264683447749808,0.5015243902439024,2.8268497330282227,1.9839939024390243,3.9794364051789795,3.4089870525514088,2.1759329779131757,2.875856816450876,2.7707539984767706,1.4996191926884996,38.32977913175933,1.0114242193450114,0.9596344249809596,0.9337395277989338,Malaysia,MYS,NA,62.2,0.588,0.597,0.6657,330803,99,0750,MYS,2019,329847,127355,129,129,0,1,0,0,0,0,0,5,875,129,222,2,2,172,1,0,0,1,1,3,2,2,26,0,0,2,2,0,31937,2508,2319,MYS,3.7562995,2018,75.997,Malaysia,2019,11414.2069765208,4.30281598221003,NA,83.748161315918,NA,NA,NA,6.92077130929584,2.49561752303418,0.187481739578907
NG,1.818172061700405,0.838966408244898,0.3640792377250409,0.8690577602439025,1.588754832178218,2.301597315465587,2.394163470212766,2.8262835743442625,2.5407399527302363,0.40247256326034064,2.8970842658813973,2.1868183216105175,2.016061836577453,1.7923628840356565,1.956433179265306,2.5459085645161292,2.574130203062914,1.4937480010509296,31.551348491996766,1.0028717670978173,0.9949340983831851,0.9978954598221503,Nigeria,NGA,Federal Republic of Nigeria,37.8,0.8505,0.8316,0.7421,923768,217.55,0890,NGA,2019,923768,356669,253,252,0,4,99,0,1,12,0,17,130875,217,360,3,3,166,1,0,0,2,2,2,1,0,27,1,0,1,2,1,187005,5243,NA,NGA,3.88990784,2018,54.332,Nigeria,2019,2229.85869624463,2.2084292771582,NA,NA,NA,NA,NA,2.74308333819201,0.736205107042569,17.5022744709074
NI,2.1083333333333334,0.6025,0.2875,0.9575,1.41,2.7666666666666666,3.0791666666666666,3.1858333333333335,3.2083333333333335,0.275,3.2925,2.0866666666666664,3.65,2.19,2.9910634495084896,3.3787610619469026,3.231858407079646,1.5091666666666668,35.1325,1.0016666666666667,0.9958333333333333,0.9858333333333333,Nicaragua,NIC,Republic of Nicaragua,43.1,0.4844,0.0473,0.429,121428,52.660000000000004,0870,NIC,2019,130370,50336,95,98,0,1,0,0,0,1,0,5,1188,71,92,3,3,130,1,0,0,2,2,2,1,0,17,0,0,2,2,0,6245,1241,NA,NIC,8.56453705,2018,74.275,Nicaragua,2019,1912.90374537869,-3.87904754979556,NA,NA,NA,NA,NA,5.45799237399973,4.01727819654027,59.4667895960272
NL,2.1512088422850564,0.24638529176309015,0.050703317775930755,0.40521385598366944,1.5590107148612875,1.6060385709669107,2.7930001547892602,2.6534774697342605,2.6430135761055134,0.4892906630208331,2.894240812441299,2.525295789107648,2.636398710485728,2.138619114527008,1.9271037124365735,2.8258144866565624,2.726091557515866,1.5114586361880278,49.32080473645425,1.1002865961425716,0.8433795567498034,0.849681458721477,Netherlands,NLD,Kingdom of the Netherlands,75.6,0.1054,0.5143,0.7222,41526,423,0850,NLD,2019,41543,16040,37,38,0,3,0,0,0,0,0,20,3250,33,150,2,3,455,1,0,0,1,1,3,2,3,15,0,0,3,2,0,17151,10693,2152,NLD,9.97458649,2018,81.81219512,Netherlands,2019,52331.3167277797,1.67741836780002,NA,NA,NA,NA,NA,19.6053197232518,3.93463489327884,NA
NO,1.9575855473782329,0.23377351135793467,0.08629060291558152,0.27220260067775426,1.326800610047784,1.7207270986494432,2.659415921475796,2.206565589996551,2.2350045158018603,0.5985043613737533,2.679676786915047,2.823778470653735,2.3016362431901674,1.7037766583379954,2.493248722837947,3.3121831790232297,3.4008352787707663,1.5001821868602165,47.792379221173945,1.1433399406611635,0.8442601265862753,0.8312183022477886,Norway,NOR,Kingdom of Norway,64.6,0.0586,0.0673,0.2048,323808,16.58,1091,NOR,2019,323802,125021,85,97,0,1,0,0,0,0,0,7,1125,49,169,2,3,345,1,0,0,1,1,3,2,3,22,0,0,3,2,0,5195,416,2229,NOR,10.0493927,2018,82.75853659,Norway,2019,75419.6348688089,1.15472193916453,NA,NA,NA,NA,NA,17.272665921403,3.41712779053944,NA
NZ,2.0471976401179943,0.3286852589641434,0.13765182186234817,0.40497512437810945,1.2946859903381642,1.9425403225806452,2.8469184890656063,2.588235294117647,2.44692144373673,0.5392456676860347,2.90216271884655,2.752155172413793,2.148003894839338,1.7928015564202335,1.9212827988338192,2.947623666343356,2.863106796116505,1.574468085106383,57.68287937743191,1.2269641125121242,0.8374142997061704,0.8295341922695738,New Zealand,NZL,NA,54,0.3969,0.1657,0.811,270467,19,0860,NZL,2019,268838,103799,143,112,0,3,0,0,0,0,0,11,2125,56,120,2,3,214,1,0,0,1,1,3,2,3,NA,0,0,3,2,0,4682,451,2456,NZL,9.21034622,2018,81.85853659,New Zealand,2019,42084.3533748088,2.81107010182147,NA,NA,NA,NA,NA,15.9939561741085,1.42236662207446,NA
PE,2.373026630285,0.42158589052048884,0.050395042302877696,0.9589481968043011,1.422560025759822,2.872941944428469,3.0348593409333815,3.71682119892971,3.57256648386565,0.10727190348008689,3.6561660166746033,2.23364224142535,2.7509690368211444,1.853000079218659,2.1117549347857145,2.96828283195827,3.126513705996229,1.515295386267857,40.88334763574786,1.0043417322392858,0.9959300443290415,0.99684510662804,Peru,PER,Republic of Peru,49.2,0.6566,0.3358,0.1988,1285216,25.02,0930,PER,2019,1285216,496224,92,95,0,12,0,0,0,4,0,17,6375,73,130,2,3,178,1,0,0,2,1,2,1,1,21,1,0,2,2,0,31586,637,1998,PER,5.23800182,2018,76.516,Peru,2019,6977.69578355382,2.1501313906839,NA,108.833801269531,NA,NA,20.2,8.39347886047604,3.91976585840699,14.638368585528
PH,2.4231306061508335,0.5370571422658333,0.1431737359232694,0.9473915876165413,1.3367866109498328,2.0908273809874998,2.092711551115,2.1428341009825,2.0310895812301917,0.8159974425091666,2.2864992223875,2.2527842410716667,4.8064448683995,4.043712298125208,1.6367993856066667,2.260946399411176,2.3666211465868114,1.500000022875,44.0252721681825,1.0014994967216666,1.00000001525,0.9989056088833334,Philippines,PHL,Republic of the Philippines,47.6,0.2385,0.836,0.3056,300000,366,0940,PHL,2019,300000,115831,152,153,1,1,50,0,0,1,0,13,65000,115,297,2,2,258,1,0,0,2,2,2,1,0,25,0,0,2,2,0,105566,9114,2127,PHL,4.40060663,2018,71.095,Philippines,2019,3485.08421835861,6.04057525655762,NA,NA,NA,NA,NA,5.31499621959123,2.03965789317753,8.37410609722486
PK,2.046161565479177,0.27237991266375544,0.20927664273881832,0.7650328448711471,1.5744,1.9768495218923,2.4423280423280422,2.5121816168327795,2.4195922989807475,0.6356668369954012,2.7645833333333334,2.335649385355425,2.04251012145749,1.9678089304257529,1.6958845537145912,1.958728388176241,2.3034257748776508,1.4802005012531327,35.64400805639476,1.0030075187969925,0.9533834586466166,0.9488721804511279,Pakistan,PAK,Islamic Republic of Pakistan,35.5,0.7098,0.719,0.3848,803940,277,0900,PAK,2019,796095,307374,207,206,0,9,82,0,2,17,0,57,117688,156,342,2,2,219,1,0,0,2,1,3,2,2,26,0,0,2,2,0,187633,6104,1865,PAK,3.20193386,2018,67.114,Pakistan,2019,1284.70204090039,0.98882943984708,NA,43.8188285827637,NA,NA,NA,4.32240770888347,0.797205378866864,10.0234885727842
PL,2.3524384165042442,0.08098311196222228,0.01263260384935285,0.7545581738604629,1.6049467234293175,2.2132715577669,2.9140088922568794,3.1110755056791275,2.706965836713407,0.24490052643157467,3.364557953551493,2.2606254615561205,2.480827510780978,1.5677812748970783,3.029070720167314,3.4998650202843837,3.6544958656205706,1.5327562592762933,47.00650343213452,1.0124661860695305,0.9845615802002906,0.9778804167966234,Poland,POL,Republic of Poland,55.4,0.1183,0.0468,0.1712,312685,122.76,0950,POL,2019,312685,120728,-19,-19,1,1,0,0,0,0,0,21,3188,235,460,2,3,196,1,0,0,2,1,3,2,3,24,1,0,3,2,1,37906,3140,1714,POL,6.33085012,2018,77.60243902,Poland,2019,15692.5070255563,4.54091951432764,NA,NA,NA,NA,NA,18.1168972529604,2.41651450472038,NA
PR,2.1074600355239785,0.614019520851819,0.1481810115350488,0.8216845878136201,1.4077407740774077,2.132562277580071,2.86875,3.344186046511628,3.239051094890511,0.1509433962264151,3.4995491433724077,2.236248872858431,2.1298119964189794,1.5192479856759176,2.6141450313339303,3.472645739910314,3.568100358422939,1.6071111111111112,49.66844444444445,1.061883408071749,0.9481346678798908,0.9489516864175023,Puerto Rico,PRI,NA,NA,0,0.0352,0.4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,79.77819512,Puerto Rico,2019,32873.7192730424,1.18766355536251,NA,NA,NA,NA,NA,19.6970895286302,NA,NA
PT,2.3861331777490475,0.03652630020452188,0.005541291222709422,0.8320778317970456,1.420062755793711,2.1501280375330394,2.5794331012857894,2.894380363888053,2.6021572424021207,0.35341182799933674,3.141257044551232,2.468385866651641,1.9240542079256377,2.0341328469757936,2.5047229886365416,3.6023523964967374,3.3509598147730757,1.5184058469658543,48.179646006519356,1.1167933023786878,0.8863640979021822,0.8935233295065277,Portugal,PRT,Portuguese Republic,60.3,0.0468,0.0198,0.1438,92090,111.59,0960,PRT,2019,92090,35556,-25,-23,0,7,0,0,0,2,0,14,4125,108,230,3,3,213,1,0,0,2,1,3,2,3,18,0,0,3,2,1,10744,3022,1648,PRT,9.40783501,2018,81.32439024,Portugal,2019,23252.0585181211,2.23597655505208,NA,NA,NA,NA,NA,22.3566907196201,3.46377236938291,NA
