cntry_AN,state_of_health,religious_member,political_member,distrust_people,environment_vs_economy,neighbour_distrust,conf_press,conf_parliament,conf_civil_service,conf_govt,E069_12,E115,avoid_fare,cheat_taxes,govt_surveilence,H010,H011,sex,age,G027A,V002,V001,location,alpha.3,official_name,ghs,ethnic,linguistic,religious,area_km2,pop.km2,code,Wbcode,year.x,area_km,area_mi,pct_pop_inc,pct_popdens_inc,assassinations,strikes,guarilla,crises,purges,riots,revolutions,antgovt_dem,confict_index,legis01,legis02,legis05,legis06,legis07,polit02,polit03,polit04,polit05,polit06,polit07,polit08,polit09,polit10,polit11,polit12,polit13,polit14,polit15,pop1,pop2,sch_enrol_per_cap,country_code,health_spending_pct_gdp,year.y,life_exp.x,country,year,gdp_per_capita,gdp_growth,literacy_rate,secondary_school_enrl,geni_index,life_exp.y,poverty_headcount,pop_65,fdi_pct_gdp,aid_per_cap
BO,2.4878993223620522,0.6896217264791464,0.09917355371900827,0.9140205178309722,1.2812344449975113,2.8526417838099856,2.8497281265447354,3.2841140529531567,3.1901477832512315,0.23673870333988212,3.3993140617344437,2.04318418314256,3.962162162162162,2.0377450980392156,2.1872843765401675,2.859090909090909,2.923115832068791,1.5045960328979198,38.328979196903724,1.0038740920096851,0.9931972789115646,0.9912023460410557,Bolivia,BOL,Plurinational State of Bolivia,35.8,0.7396,0.224,0.2085,1098581,10.29,0100,BOL,2019,1098581,424164,144,111,0,1,0,0,0,10,1,7,6125,67,130,3,3,194,1,1,0,2,2,2,1,0,23,1,1,2,2,1,11639,274,2209,BOL,6.30102587,2018,71.239,Bolivia,2019,3552.0687602631,2.21670577750376,NA,NA,NA,NA,NA,7.33863164569056,-0.580526181766116,62.201318922168
BR,2.185781407701195,0.6660954272855485,0.03945102319337979,0.9331700313780347,1.3867992546543126,2.541625003769588,2.893870200271605,3.4510349101134503,2.645517997925797,0.23110653990755814,3.5299517298164447,1.9668505997871055,3.5551092533362727,3.010408686074356,2.3896304144786273,3.264681577470733,3.2896419866591464,1.5257342074318956,42.57773636690176,1.0049717069398412,0.985202966142369,0.9856552306927917,Brazil,BRA,Federative Republic of Brazil,59.7,0.5408,0.0468,0.6054,8515767,25,0120,BRA,2019,8515770,3287956,67,81,0,9,0,0,0,5,0,8,4812,56,513,2,3,916,1,0,0,2,2,2,1,0,19,1,1,2,2,0,204710,623,2418,BRA,9.51438713,2018,75.672,Brazil,2019,8717.18627810819,1.13658557200958,NA,NA,NA,NA,NA,9.25160803606065,3.75995918146404,1.37517489430966
BY,2.5695709255229167,0.07527087792207325,0.01564629908685349,0.5781628015414848,1.5870279352704773,2.135716095717793,2.7482305005722187,2.5871763755169765,2.8433073923953884,0.5541977507747285,2.92476817258009,2.0983362698201073,4.445000863859748,3.2575023259317413,2.166080367031936,3.305749184446405,3.405612903964342,1.5358093010624987,45.75484789174979,1.0916957858041785,0.8890741422243692,0.8861354015777296,Belarus,BLR,Republic of Belarus,35.3,0.3222,0.4666,0.6116,207600,45.59,0075,BLR,2019,207600,80155,-27,-34,0,0,0,0,1,0,0,1,375,11,110,3,1,1000,1,0,0,2,1,2,1,1,26,0,0,1,2,1,9358,1167,1603,BLR,5.64426613,2018,74.17560976,Belarus,2019,6663.29529282582,1.22209662862558,NA,NA,NA,NA,NA,15.2008413514816,2.01853325118206,22.6294765366178
CH,1.977221849054723,0.3932823586429613,0.07622078835592085,0.4068707548922302,1.2656041256515262,2.03197653437223,2.829624611748603,2.4128959523239337,2.303978911816847,0.6783914904582591,2.8620739682885774,2.8286379586311052,2.427547959621595,1.9923840108174777,2.2874312138718182,3.0380548459512475,3.273115746845007,1.508730725181653,48.63742387106344,1.2287186000787336,0.6488500695190192,0.6758519117026115,Switzerland,CHE,Swiss Confederation,67,0.5314,0.5441,0.6083,41285,207.98000000000002,1100,CHE,2019,41277,15937,66,67,0,1,0,0,0,0,0,12,1750,53,200,2,3,377,1,0,0,2,2,5,2,0,9,0,0,3,2,1,8333,5229,1700,CHE,11.87620926,2018,83.75365854,Switzerland,2019,81993.72712595,0.928832411662611,NA,NA,NA,NA,NA,18.8379960576695,-2.61456240926589,NA
CL,2.1960946944444446,0.387093106669,0.154389010572,0.8717757585318275,1.4076076739811518,2.251154573437626,2.648074647441414,3.1321137410459654,2.8494174497218814,0.3689326934587996,3.2954223189158216,2.5054140567446557,3.284748758110997,2.6262435069045686,2.6256229229482404,3.161861906502596,3.200396263221644,1.509630167645,44.577803211985,1.024970826822,0.9632853122,0.961390307325,Chile,CHL,Republic of Chile,58.3,0.1861,0.1871,0.3841,756096,22.979999999999997,0220,CHL,2019,756102,291932,71,65,0,6,8,0,0,12,0,5,15875,68,155,2,3,228,1,0,0,2,2,2,1,0,25,0,0,2,2,0,18098,620,2381,CHL,9.14051342,2018,80.042,Chile,2019,14896.4538665789,1.05444255073994,NA,NA,NA,NA,NA,11.8815401277688,4.22515135969717,NA
CN,2.1839510351308937,0.05334573016275999,0.10593436799867638,0.3606527844639415,1.3601455458016638,2.0094717800677464,2.2235396069161975,1.6965660596565189,1.8858081809817822,0.9491506429755534,1.7320126380576542,2.620035288378926,1.6291208989333112,1.5059282374439298,1.8221048785617568,2.3013922817475954,2.47805031154461,1.5048431282555994,42.62684875420883,0.9999594055929115,NA,NA,China,CHN,People's Republic of China,48.2,0.1538,0.1327,0.6643,9640821,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHN,5.35107994,2018,76.704,China,2019,10261.6792453621,6.11011828768078,NA,NA,NA,NA,0.6,11.4721930236832,1.08635849065419,-0.422103204493584
CO,2.038157894736842,0.6230263157894737,0.2888157894736842,0.9546052631578947,1.309271523178808,2.6473684210526316,2.982236842105263,3.3072368421052634,3.213157894736842,0.11907894736842105,3.3046052631578946,1.8967105263157895,3.6638157894736842,2.0526315789473686,2.276315789473684,2.9802631578947367,3.0032894736842106,1.5,38.839473684210525,1.0289473684210526,0.9769433465085638,0.9781167108753316,Colombia,COL,Republic of Colombia,44.2,0.6014,0.0193,0.1478,1141748,41,0240,COL,2019,1138910,439735,93,91,1,9,64,0,0,10,0,6,86438,35,166,2,3,474,1,0,0,2,2,2,1,0,19,0,0,2,2,0,48990,1114,2407,COL,7.63980007,2018,77.109,Colombia,2019,6428.67620562768,3.26021670173643,NA,NA,NA,NA,NA,8.76583000729666,4.42305771587664,17.9290815360699
CY,1.9330171314404405,0.24270499921233568,0.19334996784873096,0.9482793895197916,1.5137039125798688,2.184929797522449,2.746158264380342,3.009661771490486,2.6376323656062826,0.3595539901193717,3.2572048476033935,2.461825286043531,2.412965537128049,1.5387806407570563,3.099331099636076,3.2963029926723046,3.2129016346761303,1.5429492478040001,46.247745736133,1.135556392048,0.8303751063943662,0.824618290998994,Cyprus,CYP,Republic of Cyprus,43,0.0939,0.3962,0.3962,5896,148.56,0290,CYP,2019,9251,3572,114,113,0,0,0,0,0,0,0,4,500,18,56,3,3,311,1,0,0,2,2,2,1,0,12,0,0,2,2,0,1243,3480,1221,CYP,6.76976299,2018,80.828,Cyprus,2019,27858.3709958327,3.07503434303197,NA,NA,NA,NA,NA,14.0482656487913,103.933764531285,NA
CZ,2.207827110231873,0.12073929159132663,0.05446129662002082,0.7787718000037125,1.4667402104263698,2.083176560145836,3.1015610743861393,3.265568776354438,2.7981009052631296,0.18676622998627554,3.317200611424081,2.3715869067737088,3.1156582234169377,2.1061989885088925,2.5804375481581356,3.542966006594757,3.635675561465887,1.5326338466942169,47.78104305882302,1.0507221116368295,0.932422883814693,0.9313507186113281,Czech Republic,CZE,Czech Republic,52,0.3222,0.3233,0.6591,78867,135.43,0301,CZE,2019,78867,30451,6,6,0,0,0,0,0,0,0,12,1500,78,200,2,3,256,1,0,0,2,1,3,2,3,15,0,0,3,2,0,10789,3543,1579,CZE,7.64651203,2018,79.02926829,Czech Republic,2019,23494.5962002944,2.33530928255712,NA,NA,NA,NA,NA,19.8007448446372,3.72300914995656,NA
DE,2.296512444618582,0.376136458146159,0.04734504122224569,0.5693181149056277,1.3576261051570535,2.0706519688899743,2.7652056107509573,2.6779575446207446,2.397871083675873,0.39325513774044296,2.9764901081192594,2.7640717804057413,2.0024651988802598,1.561878498241482,2.196224575734848,3.085045964546162,3.4272346197260064,1.5148346081692967,50.464002000181154,1.1539004177684689,0.8112243458629236,0.8027489062560952,Germany,DEU,Federal Republic of Germany,66,0.1682,0.1642,0.6571,357168,232.8,0420,DEU,2019,357022,137847,-19,-19,0,2,0,0,0,8,0,34,7250,246,709,2,2,288,1,0,0,2,1,3,2,3,15,0,0,3,2,0,81283,5897,1590,DEU,11.42995071,2018,80.89268293,Germany,2019,46445.2491012508,0.555450887945668,NA,NA,NA,NA,NA,21.5629923209089,1.87021252649331,NA
