location,alpha.3,date,stringency_index,res_pct_chng,reproduction_rate,distrust_people,gdp_per_capita,ghs,sch_enrol_per_cap,gdp_growth,health_spending_pct_gdp,pop.km2,democracy_index,ethnic,conf_govt,conflict_index,education_index,daily_cases_100k,daily_deaths_100k,continent,excess_deaths_per_100k
Italy,ITA,2020-02-17,44.77571428571429,0.8951381077365329,NA,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.07537142857142856,0.00334,Europe,-0.110233364
Italy,ITA,2020-02-24,69.91,4.313014444622993,3.1185714285714288,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.5150714285714286,0.016314285714285715,Europe,-0.038129626
Italy,ITA,2020-03-02,75.4,7.838073812202047,2.4857142857142858,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,1.8068285714285715,0.13041428571428573,Europe,-0.001713596
Italy,ITA,2020-03-09,85.19,23.744839236558846,2.067142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,5.046171428571428,0.4423,Europe,0.512235233
Italy,ITA,2020-03-16,89.81857142857143,28.64092257375391,1.6157142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,8.900542857142856,1.02,Europe,1.414575514
Italy,ITA,2020-03-23,91.67,30.672286829692506,1.1300000000000001,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,8.6515,1.3250285714285712,Europe,2.361194027
Italy,ITA,2020-03-30,91.67,29.61630134888601,0.9171428571428571,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,7.039628571428571,1.1102571428571428,Europe,2.451735215
Italy,ITA,2020-04-06,91.40285714285714,30.119411702162704,0.8871428571428571,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,6.356314285714285,0.9309142857142858,Europe,1.844929687
Italy,ITA,2020-04-13,93.52,27.63790103096617,0.8442857142857143,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,5.072614285714286,0.8461142857142857,Europe,1.478890001
Italy,ITA,2020-04-20,93.52,26.61627823941362,0.7842857142857143,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,4.146171428571429,0.6405571428571428,Europe,0.991451404
